ActivityID,Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry
1,"""A Rural Experience"" Day Tours",http://www.aruralexperience.com,+353(0)567727590,-7.07423970149609,52.6297968743748,Kilkenny,Gowran,Republic of Ireland
2,10 Fleet Street Restaurant & Bar,http://themorgan.com/en/10-fleet-street,+353(0)16437000,-6.2612322100822,53.3457958187091,Dublin,Dublin City,Republic of Ireland
3,101 Talbot,https://www.facebook.com/pages/101-Talbot-Restaurant/197016933657643,+353(0)18745011,-6.257199,53.350167,Dublin,Dublin City,Republic of Ireland
4,11 Day Discover Ireland Tour - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland
5,12 Day Giant Irish Adventure Tour - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland
6,12 Henrietta Street,http://thedrawingroom.ie/,+353(0)862746153,-6.2705757,53.3524569,Dublin,Dublin City,Republic of Ireland
7,126 Artist-Run Gallery,https://126gallery.com/,,-9.0494491,53.2772719,Galway,Galway City,Republic of Ireland
8,14 Henrietta Street,https://14henriettastreet.ie,35315240383,-6.27021090475955,53.3525066716744,Dublin,Dublin City,Republic of Ireland
9,1916 Freedom Tour,http://www.1916tour.ie,+353(0)15311916,-6.25036385533451,53.3391383245021,Dublin,Dublin City,Republic of Ireland
10,1916 Rebellion Walking Tours,http://www.1916rising.com,+353(0)868583847,-6.261746,53.343099,Dublin,Dublin City,Republic of Ireland
11,1916 Ride the Revolution Rise of the Rebels Bus Tour - Hidden Dublin Walks,http://www.hiddendublinwalks.com/1916-bus-tour-dublin.php,+353(0)862088117,-6.2798109,53.3454402,Dublin,Dublin City,Republic of Ireland
12,1st Adventure Tours,http://1stadventuretours.ie,+353(0)860767812,-8.60323392388511,54.1680768171531,Sligo,Coolaney,Republic of Ireland
13,2019 Irish Harvest Festival,http://rolysbistro.ie,+353(0)16682611,-6.23225326121451,53.3294028362726,Dublin,Ballsbridge,Republic of Ireland
14,2020 Art Gallery,https://2020curates.com/,353868332812,-8.4801299,51.90143,Cork,Cork City,Republic of Ireland
15,3 Day Southern Tour - Shamrocker Adventures,http://www.shamrockeradventures.com,+353(0)16727651,-6.269701,53.343801,Dublin,Dublin City,Republic of Ireland
16,3 Day Western Rocker Tour - Shamrocker Adventures,http://www.shamrockeradventures.com,+353(0)16727651,-6.269701,53.343801,Dublin,Dublin City,Republic of Ireland
17,360 Cookhouse,https://www.360cookhouse.ie/,3535844537,-7.6172691,52.0889628,Waterford,Dungarvan,Republic of Ireland
18,365 Chauffeur Drive,http://www.365chauffeurdrive.ie,+353(0)871342012,-6.2601700553123,53.3493830372358,Dublin,Dublin City,Republic of Ireland
19,37 Dawson Street,http://www.37dawsonstreet.ie,35319022908,-6.258755,53.34054,Dublin,Dublin City,Republic of Ireland
20,5 Day Celtic Rocker Tour - Shamrocker Adventures,http://www.shamrockeradventures.com,+353(0)16727651,-6.269701,53.343801,Dublin,Dublin City,Republic of Ireland
21,5 Day Fishing-Fly Fishing or Sea Angling,http://www.real-ireland.com,+00353(0)749548891,-8.43079226026218,54.9838630279562,Donegal,Burtonport,Republic of Ireland
22,5 Day Giant's Rocker Tour - Shamrocker Adventures,http://www.shamrockeradventures.com,+353(0)16727651,-6.269701,53.343801,Dublin,Dublin City,Republic of Ireland
23,53 Degrees North,http://www.53degreesnorth.ie,353214949804,-8.4755582,51.8993312,Cork,Cork City,Republic of Ireland
24,56 Central Restaurant,http://www.56central.com,35391569511,-9.052348,53.272925,Galway,Galway City,Republic of Ireland
25,6 Day Northern Ireland Tour - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland
26,64 Wine,http://64wine.ie,+353(0)12805664,-6.12311677152729,53.2872152821415,Dublin,Glasthule,Republic of Ireland
27,7 Day All Ireland Rocker Tour - Shamrocker Adventures,http://www.shamrockeradventures.com,+353(0)16727651,-6.269701,53.343801,Dublin,Dublin City,Republic of Ireland
28,"7 Day Magnetic North Adventure Tour, Vagabond Tours of Ireland",http://www.instagram.com/vagabondireland,+353(0)15634358,-6.10577993557354,53.0844372051494,Wicklow,Newtown Mount Kennedy,Republic of Ireland
29,7 Day Treasure Ireland Tour - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland
30,7 Day World Tour of Ireland - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland
31,"7th Wave Surf, Sup, Kayak School",http://www.surfsligo.com,353879716389,-9.0987116,54.2116305,Sligo,Enniscrone,Republic of Ireland
32,8 Day Wild Irish Rover - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland
33,A Heritage Walk of Old Galway,,+353(0)91588897,-9.04947254971209,53.2721788149031,Galway,Galway City Centre,Republic of Ireland
34,A Spasso A Dublino - Italian Tour in Dublin,https://www.aspassoperdublino.com/,+353(0)899644861,-6.25164772594451,53.3422400230571,Dublin,Dublin City,Republic of Ireland
35,A Touch of Ireland Ltd.,http://atouchofireland.ie/,+353(0)16680888,-6.236283,53.336932,Dublin,Dublin City,Republic of Ireland
36,Aasleagh Falls,,,-9.672464,53.618081,Mayo,Delphi,Republic of Ireland
37,Abbey Ireland & UK,http://www.abbey.ie,+353(0)16486100,-6.27682906018833,53.3446096824302,Dublin,Dublin City,Republic of Ireland
38,Abbey Par 3 Golf Club,,+353(0)866084257,-6.862713,52.231827,Wexford,Fethard On Sea,Republic of Ireland
39,Abbey Road Artists’ Studios,http://www.athloneartsandtourism.ie/artists-studios/,353906442154,-7.9442923,53.429856,Westmeath,Athlone,Republic of Ireland
40,Abbey Road Gardens,https://www.facebook.com/waterfordgardentrail/,353872209026,-7.102184,52.264196,Waterford,Ferrybank,Republic of Ireland
41,Abbey Theatre,http://www.abbeytheatre.ie,+353(0)18787222,-6.257107,53.34854,Dublin,Dublin City,Republic of Ireland
42,Abbey Theatre Tours,http://www.abbeytheatre.ie,+353(0)18787222,-6.257107,53.34854,Dublin,Dublin City,Republic of Ireland
43,Abbeyderg Abbey and Graveyard,http://visitlongford.ie/listings/abbeyderg-abbey,353433346566,-7.78910667668568,53.6334654024929,Longford,Kenagh,Republic of Ireland
44,Abbeyfeale Farmers Market,https://www.iomst.ie/market/abbeyfeale-farmers-market/,353876866450,-9.301963,52.384547,Limerick,Abbeyfeale,Republic of Ireland
45,Abbeyleix Golf Club,http://www.abbeyleixgolfclub.ie,353578731450,-7.3372447,52.921763,Laois,Abbeyleix,Republic of Ireland
46,Abbeyleix Heritage House,http://www.abbeyleixheritage.com/about-us/,353578731653,-7.3464114,52.9172919,Laois,Abbeyleix,Republic of Ireland
47,Abbeyleix Loops - Killamuck Bog,http://www.irishtrails.ie/Trail/Abbeyleix-Loops---Killamuck-Bog-loop/623/,,-7.35307920316802,52.9068305299693,Laois,Abbeyleix,Republic of Ireland
48,Abbeyshrule Monastery,http://www.facebook.com/AbbeyshruleAbbey,353433342577,-7.6583470787125,53.5796914273899,Longford,Abbeyshrule,Republic of Ireland
49,About Cork Taxi Tours,http://www.aboutcorktaxitours.com,+353(0)2546788,-8.47400571035269,51.8984153316716,Cork,Cork City,Republic of Ireland
50,Aboveboard,https://www.facebook.com/aboveboardkitesupwakebike,35312804774,-6.14870248101192,53.2972947317128,Dublin,Dún Laoghaire,Republic of Ireland
51,Acapulco Dublin,http://www.acapulco.ie,+353(0)16771085,-6.264233,53.343616,Dublin,Dublin City,Republic of Ireland
52,Accents Coffee & Tea Lounge,http://www.accents-lounge.com,+353(0)14160040,-6.2647229331352,53.3413375482743,Dublin,Dublin City,Republic of Ireland
53,ACET - Cork Language Centre International,https://www.acetireland.ie,353214551661,-8.4692546,51.9022032,Cork,Cork City,Republic of Ireland
54,Achill Archaeological Field School - Scoil Seandálúil Acla,http://www.achill-fieldschool.com,3539843564,-10.1285782,53.9747652,Mayo,Achill Island -Acaill,Republic of Ireland
55,Achill Bikes - Bike Rental,http://www.achillbikes.com,353872437686,-10.1328197,53.9742244,Mayo,Achill Island -Acaill,Republic of Ireland
56,Achill Cliff House Restaurant,https://www.achillcliff.com/en/restaurant/about-restaurant,3539843400,-10.0810517,53.976098,Mayo,Achill Island -Acaill,Republic of Ireland
57,Achill Cycle Hub,http://www.irishtrails.ie/Trail/Achill-Cycle-Hub---Loop-1/1144/,+353(0)9847353,-9.99073259547387,53.9626100660387,Mayo,Achill Island -Acaill,Republic of Ireland
58,Achill Experience and Aquarium,http://www.achillexperience.ie,3539843292,-10.080603,53.983983,Mayo,Achill Island -Acaill,Republic of Ireland
59,Achill Golf Club,http://www.achillgolf.com,3539843456,-10.0676021,53.97578,Mayo,Achill Island -Acaill,Republic of Ireland
60,Achill Heritage Centre,https://achillheritagecentre.wordpress.com,353863406396,-9.9833712,53.9762269,Mayo,Achill Island -Acaill,Republic of Ireland
61,Achill Island - Dooagh Loop Walk,http://www.irishtrails.ie/Trail/Achill-Island---Dooagh-Loop/498/,,-10.1242851467434,53.9729098377987,Mayo,Achill Island -Acaill,Republic of Ireland
62,Achill Island -Acaill,http://achilltourism.com/,+353(0)9820400,-9.99389294297557,53.9517526424668,Mayo,Achill Island -Acaill,Republic of Ireland
63,"Achill Island Blueway, Achill Island",https://www.facebook.com/BluewayIreland,+353(0)9825711,-10.1260904496032,53.97379137841,Mayo,Achill Island -Acaill,Republic of Ireland
64,Achill Island Heritage Tours,http://www.achillcoaches.ie/heritage-tours,+353(0)858505025,-10.1368075500764,53.9732731739707,Mayo,Achill Island -Acaill,Republic of Ireland
65,Achill Isle Walks,http://www.achillislehouse.com/tours.html,+353(0)868439683,-9.99073259547387,53.9626100660387,Mayo,Achill Island -Acaill,Republic of Ireland
66,Achill Outdoor Education Centre,http://www.achilloutdoor.com,3539847253,-9.9685692,53.9576243,Mayo,Achill Island -Acaill,Republic of Ireland
67,Achill Seaweed Baths,https://www.facebook.com/AchillSeaweedBaths,353877171713,-10.0451336,53.9776589,Mayo,Achill Island -Acaill,Republic of Ireland
68,Achill Secret Garden,http://www.achillsecretgarden.com,353874149895,-9.9595077,53.875656,Mayo,Achill Island -Acaill,Republic of Ireland
69,Achill Surf & Kayak,http://www.achillsurf.com,353851554376,-10.0792666145332,53.9725795088618,Mayo,Achill Island -Acaill,Republic of Ireland
70,Acorn Restaurant,https://www.castleoaks.ie/acorn-restaurant,35361377666,-8.5085895,52.7095672,Limerick,Castleconnell,Republic of Ireland
71,Activate,http://www.Activatewaterford.ie,35351325097,-7.0895609,52.242381,Waterford,Waterford City,Republic of Ireland
72,Activities Ireland,https://www.activitiesireland.ie,35315056794,-6.4491178,53.3583925,Dublin,Lucan,Republic of Ireland
73,Activity Days Ltd.,http://activitydays.ie,353873306306,-8.5674229,51.9395051,Cork,Blarney,Republic of Ireland
74,Adam Ladd Tours,https://www.adamladdtours.com/,353851572537,-6.3007858,53.3403825,Dublin,Kilmainham,Republic of Ireland
75,Adams & Butler,http://www.adamsandbutler.com/golf,35312889355,-6.215285,53.300625,Dublin,Mount Merrion,Republic of Ireland
